---- Please note prices are subject to change on the actual market ----
Id:                            | Price:   | Today's trends: 
199   Grimy guam               | 433      | +21
8786  Marble block             | 322.1k   | - 1,808
554   Fire rune                | 75       | 0
555   Water rune               | 20       | 0
556   Air rune                 | 32       | 0
557   Earth rune               | 18       | 0
561   Nature rune              | 398      | +3
314   Feather                  | 10       | 0
1513  Magic logs               | 421      | +11

---- I'm not responsible for your lost of gold from bad transactions ----
